"Teemo","Captain Teemo on duty."
"Teemo","Yes, sir!"
"Teemo","Armed and ready."
"Teemo","Reporting in."
"Teemo","Hut, two, three, four."
"Teemo","Yes, sir!"
"Teemo","I'll scout ahead!"
"Teemo","Swiftly!"
"Teemo","That's gotta sting."
"Teemo","Never underestimate the power of the Scout's code."
"Teemo","Size doesn't mean everything."
"Teemo","Yes, sir!"
"Teemo","Reporting in."
"Teemo","Swiftly!"
"Teemo","Hut, two, three, four."
"Teemo","I'll scout ahead!"
"Teemo","Armed and ready."
"Teemo","That's gotta sting."
"Teemo","Survive here a week, then you get a name."
"Teemo","There's a mushroom out there with your name on it."
"Teemo","The war never ends, the battlefield just changes."
"Teemo","Survival ain't pretty."
"Teemo","Reinforcements ain't comin'."
"Teemo","I'm the last scout standing."
"Teemo","Lots to do before I punch out."
"Teemo","I forget what started the fighting..."
"Teemo","You don't know about war."
"Teemo","Good men die. I choose to live."
"Teemo","You'd be surprised how quick fur ignites."
"Teemo","Size is a liability."
"Teemo","Nobody's innocent any more."
"Teemo","One day there'll be a reckoning."
"Teemo","You can't tell but, uh, I've grown quite the beard under here."
"Teemo","I've done things I'm not proud of."
"Teemo","I used to live by a code."
"Teemo","They been looking for yours truly."
"Teemo","Never. Get. Attached."
"Teemo","Tall folk don't last long round here."
"Teemo","My ears are always ringing."
"Teemo","A part of you never leaves the jungle."
"Teemo","We ain't all makin' it out of here."
"Teemo","Peace is a fairy tale."
"Teemo","War didn't change me, I changed war!"
"Teemo","My tears have all dried up, kid."
"Teemo","You've got no idea what it's like on the ground, flyboy!"
"Teemo","Little guy's gone native."
"Teemo","Wars are won with men, not machines."
"Teemo","Rockets ain't for jumping. Who gave you that?"
"Teemo","Everyone's on a clock, but only mine keeps ticking."
"Teemo","You want Teemo? Come and get him!"
"Teemo","Take a long walk through the jungle!"
"Teemo","You and I are survivors, buddy. They can never kill us."
"Teemo","Here you go, little guy. You're my only friend left."
"Teemo","We'll make them pay for what they did to your family, little guy."
"Teemo","They won't make the mistake of thinking you're harmless again."
"Teemo","Time for the long nap."
"Teemo","Sight. Shoot. Reload."
"Teemo","I'm taking everyone with me!"
"Teemo","Death has a name."
"Teemo","This one's for my helmet brother!"
"Teemo","This'll be messy."
"Teemo","This is very personal."
"Teemo","Natural-born killer."
"Teemo","Smell that? That's fear."
"Teemo","Killing's all I'm good at."
"Teemo","I don't feel anything."
"Teemo","I settle my scores."
"Teemo","Let the poison do its work."
"Teemo","Turns out, I got a proficiency in killing."
"Teemo","This is where we draw the line."
"Teemo","This one's for Johnny!"
"Teemo","Who's my next tally mark?"
"Teemo","Take the pain!"
"Teemo","Look alive."
"Teemo","Now, we wait."
"Teemo","Become one with the jungle."
"Teemo","Patience now."
"Teemo","Blind 'em!"
"Teemo","Bug out!"
"Teemo","Hut two three four!"
"Teemo","Move!"
"Teemo","Swiftly!"
"Teemo","I own this land."
"Teemo","Face toward enemy."
